t,x,y,z,alpha,beta,x_dot,y_dot,z_dot,alpha_dot,beta_dot,x_est,y_est,z_est,x_dot_est,y_dot_est,z_dot_est,err_x,err_y,err_z,err_x_dot,err_y_dot,err_z_dot,x_std,y_std,z_std,x_dot_std,y_dot_std,z_dot_std,bx,by,bz,bx_est,by_est,bz_est,bx_std,by_std,bz_std,nis,nees,cond_P,det_P,cond_S,det_S,runtime,filterVariant,nx,useSRformulation,RK4Iterations,updateJacobians,updateQ,cubature
0,0.3,-0.3,31.119178665731,1,1,0,0,0,0,0,0,0,30.119178665731,0,0,0,-0.3,0.3,-1,0,0,0,0,0,0,0,0,0,-0.00189438033401451,0.00187082593548675,-0.0108409137544472,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0
0.005,0.268170921938716,-0.267951213633583,31.083047198672,2.39471827702708,2.41337902891314,-12.5374590164552,12.626173290358,-14.2993598704636,-6668.82661942291,-6690.26807911332,0.732297786116276,0.0199924099871689,30.8803263448972,-10.7068839271084,18.358090299566,-11.756797827384,0.46412686417756,0.287943623620752,-0.20272085377486,1.83057508934679,5.73191700920794,2.54256204307955,0.284422492390011,0.284379582647392,0.146186079345644,7.55175602971274,7.5540075321026,8.19016213193759,-1.71926893254337,1.97433738602416,10.7157135089441,-1.98387248876156,1.96674931976031,10.1825109538331,0.362364837592843,0.362479680028314,0.650682584191227,1.2042520785311,5.90386988084216,3670.86085320924,1.88083135495119e-35,3.22457342102534,7.30415226758347e-21,1603.26,1,6,0,0,1,0,0
0.01,0.258938020945298,-0.257737848441894,30.9748028013864,4.44943003770763,4.48506399136533,9.16065976730538,-8.85600258570305,-28.7556803664636,-703.803206516405,-669.130230448313,0.127493427250438,0.0194670053845857,30.8400115879343,4.87340318938354,-4.2259765936445,-24.3342699116896,-0.13144459369486,0.27720485382648,-0.134791213452064,-4.28725657792184,4.63002599205855,4.42141045477402,0.219224090687888,0.219344606023446,0.101987969698988,10.4546275907642,10.4648230009646,11.4415225605858,2.10161358326856,-2.29763378357457,10.5503912710403,2.4762636600948,-2.23511100694475,10.540793407771,0.144866480160182,0.144910856897569,0.136534646988095,6.88744821389258,3.79203051231158,12875.9703319219,2.32512754485095e-35,1.13172370126719,8.21266893027526e-24,1595.309,1,6,0,0,1,0,0
0.015,0.299179724333251,-0.29664130562919,30.8017577878516,5.46458072619099,5.51390318303188,7.10244885948709,-6.87011046452481,-39.9247760253816,-1290.82381791069,-1312.6197638665,0.326780370101953,-0.113577391939689,30.7110158850131,5.99507996675675,-2.0737806167147,-35.1099567700696,0.0276006457687023,0.183063913689502,-0.0907419028384898,-1.10736889273035,4.79632984781012,4.81481925531199,0.196665745246025,0.196806000807736,0.0904595064222783,12.4838397837959,12.4896431119633,13.1760384238049,-0.491307226640957,0.545725591434733,10.5852123130574,-0.639116384120017,0.640100491562942,10.5948524426989,0.133755728235607,0.133794800749968,0.127538543912977,1.724387663256,2.32370746577278,22431.1782035872,2.37129433407145e-35,1.10063916847642,5.20935235705664e-24,1629.787,1,6,0,0,1,0,0
0.02,0.339483971272817,-0.335484792754836,30.5823265243794,6.41524989885031,6.49473294703131,9.197731858319,-8.84092681850495,-47.1591230181829,-548.18530470797,-568.18608157893,0.40828675357687,-0.156619703621866,30.5527662624008,9.32026341306689,-2.57946004857792,-41.6510003478032,0.0688027823040537,0.17886508913297,-0.0295602619785895,0.122531554747892,6.26146676992703,5.5081226703797,0.190784312734319,0.19091141726615,0.0967087046967617,13.8647661825923,13.8673656261008,13.1923523829912,-0.0915759731393203,0.155746668384432,10.4857557846625,-0.136577016338388,0.184470420111589,10.4539683210539,0.132196318165443,0.132233322136135,0.133311665003708,0.219502617212515,1.62788652055466,26672.5705743502,2.13789612142719e-35,1.01784419274939,5.43066837703774e-24,766.051,1,6,0,0,1,0,0
0.025,0.383341475369376,-0.377445809834837,30.3388564203688,7.09971231652749,7.2138981928925,8.49012434203507,-8.08227002044078,-49.4301307460559,-419.464788101452,-448.556231417054,0.302372323129878,-0.2333044220706,30.2361809048332,-0.888723682301163,-1.77372216376268,-52.9303807532966,-0.0809691522394986,0.144141387764236,-0.102675515535604,-9.37884802433623,6.3085478566781,-3.50025000724064,0.191820885891066,0.191939566397113,0.10283090809959,14.6878137888323,14.6893025654866,12.2993960509707,-0.627096174396414,0.496265358199075,10.1759114752222,-0.499906725551023,0.552920972123435,10.3433794814452,0.133708713904611,0.133724934442129,0.14069217024385,2.50145430401041,2.09682169864223,28579.4011579008,1.83256421924277e-35,1.10724896597729,6.32823566327099e-24,741.748,1,6,0,0,1,0,0
0.03,0.422957657364727,-0.414976648706065,30.0962705359778,7.63181210308953,7.78348656718326,7.48557917541346,-7.05207437900125,-46.7783817175355,-349.786173451684,-383.089984228289,0.30999248514195,-0.443244994331401,29.9958361470526,-4.11554069525399,-8.91752444141608,-49.5334364444522,-0.112965172222777,-0.0282683456253359,-0.100434388925281,-11.6011198706674,-1.86545006241483,-2.75505472691669,0.193462550535527,0.19354317809952,0.103063078887115,15.0605744890932,15.0610124372723,11.5151341403111,-0.616262420910363,0.452959698032516,10.1754363306261,-0.625482826415499,0.619076025607434,10.1379408270307,0.136748602024351,0.136766123327204,0.144026788874467,1.54615009939234,1.66512425665118,28585.0503952277,1.54143498599833e-35,1.10935801437925,7.25582944135106e-24,759.841,1,6,0,0,1,0,0
0.035,0.457087367683706,-0.447004315764923,29.8782804419754,8.04626618658762,8.23426286567211,6.2804411250593,-5.86546089277495,-39.6499520931566,-324.570589066879,-359.768373585719,0.409369851852014,-0.523660039196882,29.7271745404067,-1.63881891481679,-8.00848135231442,-43.916883366192,-0.0477175158316922,-0.0766557234319591,-0.151105901568676,-7.91926003987609,-2.14302045953948,-4.26693127303539,0.19452090234493,0.194566645791886,0.100799673230967,15.1750287179234,15.1749970704245,11.1921019113307,-0.598617010153458,0.589462572962885,9.98461265430213,-0.696095292940335,0.619059244981832,10.0122278945584,0.138804341037187,0.138813309641517,0.143031687315486,0.577055784174332,2.90663872006579,28814.3048466686,1.34422739305992e-35,1.06296274100316,7.59485280589506e-24,720.173,1,6,0,0,1,0,0
0.04,0.485190230764257,-0.473198068223842,29.7050984917837,8.37602086608747,8.59633259787456,5.06010807761461,-4.70403621566149,-28.9959644226226,-312.651807404199,-347.161141780637,0.903842630488632,-0.578357362444199,29.5660583987812,24.5417112106856,-6.27843542750953,-29.0699071213663,0.418652399724375,-0.105159294220357,-0.139040093002502,19.481603133071,-1.57439921184804,-0.0739426987436259,0.194297508524106,0.194319246742703,0.0982238874045707,15.1608225945569,15.1606432471834,11.1426863774342,-0.309018032566793,0.623793126299008,9.99776786332124,-0.705699157535625,0.633037328128369,9.89166493056633,0.140412497740104,0.140430950659374,0.141739341635102,8.52106321583438,7.85734450999099,29494.6016456864,1.19646889892708e-35,1.02418071469567,7.81078117709509e-24,729.674,1,6,0,0,1,0,0
0.045,0.507469732763819,-0.493931211464144,29.5911948700113,8.65209624716291,8.89909024032726,3.9361384024727,-3.66720991787035,-16.1454943031938,-298.374016442329,-329.312710076255,1.21801929266197,-0.655793536086816,29.428189997718,37.2642714585728,-6.80664875049889,-14.5614621184659,0.710549559898148,-0.161862324622672,-0.163004872293294,33.3281330561001,-3.13943883262854,1.58403218472796,0.193885267878915,0.194007881655361,0.0967212383905487,15.1196022330336,15.1260329639555,11.1893105048426,-0.406864532641851,0.601211557940154,9.89700622217685,-0.557667368137332,0.63729530766693,9.873219928294,0.140824495807985,0.140838643340452,0.140556845600991,1.23610624636668,19.1053019245675,30194.9068211413,1.10684422902117e-35,1.02846116597691,7.76998413394684e-24,747.703,1,6,0,0,1,0,0
0.05,0.524611903040439,-0.509985762290046,29.5438123378149,8.89820927763289,9.16526926648958,2.99010435869427,-2.81905472880216,-2.63115944066997,-272.521513274371,-296.685348793547,0.94175868111931,-0.428566324483903,29.3822397272742,13.8038584119409,10.5525834166683,2.9610153220589,0.417146778078871,0.0814194378061425,-0.161572610540728,10.8137540532466,13.3716381454705,5.59217476272887,0.193417320576784,0.193643082877571,0.0960914973132157,15.0811352354077,15.0937371700549,11.2192755673414,-0.822703362373671,0.825947885486228,9.88047375206573,-0.454459646756919,0.618219942114139,9.88149740194553,0.141039165690336,0.141059145607792,0.14016743357513,8.98691238824555,12.5663288750988,30643.3166080823,1.04856497122867e-35,1.02746737345691,7.7752281768284e-24,737.306,1,6,0,0,1,0,0
