variant,magnet_n,n_runs,success_count,graph_build_time_s_mean,graph_build_time_s_median,graph_build_time_s_min,graph_build_time_s_max,build_ocp_time_s_mean,build_ocp_time_s_median,build_ocp_time_s_min,build_ocp_time_s_max,build_sim_time_s_mean,build_sim_time_s_median,build_sim_time_s_min,build_sim_time_s_max,build_total_time_s_mean,build_total_time_s_median,build_total_time_s_min,build_total_time_s_max,total_wall_time_s_mean,total_wall_time_s_median,total_wall_time_s_min,total_wall_time_s_max,solve_wall_mean_ms_mean,solve_wall_mean_ms_median,solve_wall_mean_ms_min,solve_wall_mean_ms_max,solve_wall_median_ms_mean,solve_wall_median_ms_median,solve_wall_median_ms_min,solve_wall_median_ms_max,solve_wall_p95_ms_mean,solve_wall_p95_ms_median,solve_wall_p95_ms_min,solve_wall_p95_ms_max,solve_wall_max_ms_mean,solve_wall_max_ms_median,solve_wall_max_ms_min,solve_wall_max_ms_max,generated_code_bytes_mean,generated_code_bytes_median,generated_code_bytes_min,generated_code_bytes_max,per_run_bytes_mean,per_run_bytes_median,per_run_bytes_min,per_run_bytes_max,per_run_c_lines_mean,per_run_c_lines_median,per_run_c_lines_min,per_run_c_lines_max,per_run_dyn_c_lines_mean,per_run_dyn_c_lines_median,per_run_dyn_c_lines_min,per_run_dyn_c_lines_max,sqp_iter_mean_mean,sqp_iter_mean_median,sqp_iter_mean_min,sqp_iter_mean_max,sqp_iter_max_mean,sqp_iter_max_median,sqp_iter_max_min,sqp_iter_max_max
full,4,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
full,6,1,1,0.355005,0.355005,0.355005,0.355005,19.736611,19.736611,19.736611,19.736611,18.312522,18.312522,18.312522,18.312522,38.050106,38.050106,38.050106,38.050106,57.146807,57.146807,57.146807,57.146807,1.40568571428571,1.40568571428571,1.40568571428571,1.40568571428571,0.833,0.833,0.833,0.833,4.50099999999999,4.50099999999999,4.50099999999999,4.50099999999999,7.375,7.375,7.375,7.375,34812255,34812255,34812255,34812255,16613163,16613163,16613163,16613163,300883,300883,300883,300883,296969,296969,296969,296969,1,1,1,1,1,1,1,1
full,8,3,3,0.335025333333333,0.29,0.266355,0.448721,28.8118403333333,28.506707,28.484209,29.444605,28.1566086666667,28.188,28.001714,28.280112,56.9688683333333,56.672356,56.508556,57.725693,78.148347,78.179747,77.471932,78.793362,1.63048039215686,1.92676470588235,1.02185294117647,1.94282352941177,1.32866666666667,1.64,0.703,1.643,2.84095,3.1471,2.22375,3.152,7.56733333333333,7.769,7.046,7.887,40756239,40159091,40159091,41950535,21959999,21959999,21959999,21959999,400285,400285,400285,400285,396371,396371,396371,396371,1,1,1,1,1,1,1,1
full,10,3,3,0.268881333333333,0.24518,0.183039,0.378425,36.3214033333333,36.232712,35.980367,36.751131,35.598248,35.556097,35.421963,35.816684,71.9200913333333,71.797181,71.789026,72.174067,96.1764316666667,96.111052,95.961106,96.457137,1.051296,0.691667,0.667404,1.794817,1.029,0.688,0.635,1.764,1.14471666666667,0.812,0.77105,1.8511,3.57666666666667,3.282,2.89,4.558,54015673.6666667,54510469,52878949,54657603,27349939,27349939,27349939,27349939,500085,500085,500085,500085,496171,496171,496171,496171,1,1,1,1,1,1,1,1
full,12,3,1,0.203116,0.203116,0.203116,0.203116,47.470404,47.470404,47.470404,47.470404,46.433705,46.433705,46.433705,46.433705,93.904248,93.904248,93.904248,93.904248,115.081036,115.081036,115.081036,115.081036,2.095429,2.095429,2.095429,2.095429,2.08,2.08,2.08,2.08,2.17305,2.17305,2.17305,2.17305,4.711,4.711,4.711,4.711,59968303,59968303,59968303,59968303,32807773,32807773,32807773,32807773,599407,599407,599407,599407,595493,595493,595493,595493,1,1,1,1,1,1,1,1
full,16,3,2,0.1885435,0.1885435,0.174226,0.202861,74.1705215,74.1705215,73.796997,74.544046,74.617646,74.617646,74.499081,74.736211,148.788304,148.788304,148.53334,149.043268,170.713812,170.713812,167.268004,174.15962,2.72261025,2.72261025,2.7218405,2.72338,2.713,2.713,2.712,2.714,2.773625,2.773625,2.76525,2.782,5.163,5.163,5.157,5.169,43628296,43628296,43628227,43628365,43618398,43618398,43618398,43618398,798761,798761,798761,798761,794847,794847,794847,794847,1,1,1,1,1,1,1,1
full,20,3,3,0.178438666666667,0.178892,0.175494,0.18093,108.079291,108.096883,108.041835,108.099155,107.483818666667,107.456319,106.577938,108.417199,215.563242666667,215.49828,214.674949,216.516499,238.649752666667,238.726201,237.456508,239.766549,3.4646315,3.4582085,3.458089,3.477597,3.44566666666667,3.441,3.438,3.458,3.62206666666667,3.6262,3.597,3.643,6.014,6.007,6.003,6.032,57316682,57316682,57316682,57316682,57306853,57306853,57306853,57306853,997557,997557,997557,997557,993643,993643,993643,993643,1,1,1,1,1,1,1,1
full,30,3,3,0.181845,0.181188,0.178686,0.185661,222.376290666667,222.862048,221.321633,222.945191,222.358897333333,222.434632,221.614906,223.027154,444.735316666667,445.296813,442.936668,445.972469,472.549578333333,473.00947,470.408331,474.230934,5.30049566666667,5.2838375,5.268812,5.3488375,5.256,5.247,5.209,5.312,5.55258333333333,5.5593,5.51705,5.5814,8.238,8.011,7.933,8.77,85964318,85964318,85964318,85964318,85954489,85954489,85954489,85954489,1496127,1496127,1496127,1496127,1492213,1492213,1492213,1492213,1,1,1,1,1,1,1,1
full,40,3,3,0.186375666666667,0.184532,0.184282,0.190313,388.482643,390.131216,383.836521,391.480192,384.694062666667,385.27389,382.900348,385.90795,773.176847,774.380692,769.744613,775.405236,805.719374,806.91381,802.457762,807.78655,7.363941,7.3726405,7.343604,7.3755785,7.30966666666667,7.32,7.278,7.331,7.60386666666667,7.60025,7.54025,7.6711,11.4306666666667,10.22,10.179,13.893,114486456,114486456,114486456,114486456,114476627,114476627,114476627,114476627,1993497,1993497,1993497,1993497,1989583,1989583,1989583,1989583,1,1,1,1,1,1,1,1
full,60,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
full,80,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
full,100,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
reduced,4,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
reduced,6,2,2,0.2426465,0.2426465,0.20402,0.281273,16.2191295,16.2191295,15.290911,17.147348,15.5067515,15.5067515,15.07043,15.943073,31.726016,31.726016,30.361472,33.09056,51.212853,51.212853,50.67514,51.750566,2.56538571428572,2.56538571428572,2.5484,2.58237142857143,1.277,1.277,1.268,1.286,7.23005,7.23005,7.2156,7.2445,7.4345,7.4345,7.427,7.442,19292934,19292934,14464568,24121300,14454238,14454238,14454238,14454238,255810,255810,255810,255810,251918,251918,251918,251918,1,1,1,1,1,1,1,1
reduced,8,3,3,0.239853666666667,0.258335,0.191126,0.2701,23.2409956666667,23.404524,22.787414,23.531049,23.0112636666667,22.991184,22.975248,23.067359,46.2524016666667,46.379894,45.854919,46.522392,68.1215613333333,68.770228,66.781458,68.812998,2.17219607843137,2.17494117647059,2.15717647058823,2.18447058823529,1.56733333333333,1.5725,1.5505,1.579,4.39585,4.3795,4.3748,4.43325,7.14366666666667,7.091,6.97,7.37,37242630,36436502,36211096,39080292,19089756,19089756,19089756,19089756,340564,340564,340564,340564,336672,336672,336672,336672,1,1,1,1,1,1,1,1
reduced,10,3,3,0.198392,0.206356,0.181042,0.207778,30.9425563333333,31.076942,30.404532,31.346195,30.7826966666667,30.730393,30.679959,30.937738,61.7253986666667,62.014824,61.084636,62.076736,86.533541,87.621064,84.340901,87.638658,1.62711666666667,1.6352755,1.6060665,1.640008,1.618,1.618,1.594,1.642,1.71403333333333,1.72105,1.679,1.74205,4.30066666666667,4.348,4.186,4.368,46854146.6666667,46424994,46424994,47712452,23769666,23769666,23769666,23769666,425554,425554,425554,425554,421662,421662,421662,421662,1,1,1,1,1,1,1,1
reduced,12,3,3,0.219006666666667,0.207834,0.193639,0.255547,36.3653263333333,39.411651,29.222455,40.461873,39.8380063333333,39.879868,39.580951,40.0532,76.203481,79.291678,69.275787,80.042978,99.6568406666667,103.741017,90.999712,104.229793,1.875468,1.878561,1.868492,1.879351,1.85466666666667,1.856,1.845,1.863,1.96333333333333,1.961,1.944,1.985,4.51566666666667,4.541,4.4,4.606,55641816,55641816,55641816,55641816,28481286,28481286,28481286,28481286,510136,510136,510136,510136,506244,506244,506244,506244,1,1,1,1,1,1,1,1
reduced,16,3,3,0.181061333333333,0.180604,0.180483,0.182097,58.456588,58.424391,58.311604,58.633769,58.699436,58.692034,58.54137,58.864904,117.156154666667,117.003766,116.965896,117.498802,135.183053333333,135.05467,135.025582,135.468908,2.44209783333333,2.438386,2.431858,2.4560495,2.42533333333333,2.424,2.421,2.431,2.52401666666667,2.514,2.48605,2.572,6.047,4.949,4.896,8.296,37882773,37882773,37882773,37882773,37872581,37872581,37872581,37872581,680118,680118,680118,680118,676226,676226,676226,676226,1,1,1,1,1,1,1,1
reduced,20,3,3,0.183215333333333,0.182231,0.181821,0.185594,90.1402603333333,90.144302,90.106008,90.170471,89.7528203333333,89.773862,89.486325,89.998274,179.893221666667,179.880005,179.630766,180.168894,202.132298333333,202.150764,201.914512,202.331619,3.0586845,3.0505355,3.048188,3.07733,3.03033333333333,3.031,3.011,3.049,3.20936666666667,3.21005,3.2,3.21805,5.66033333333333,5.655,5.627,5.699,49686730,49686730,49686730,49686730,49676538,49676538,49676538,49676538,849156,849156,849156,849156,845264,845264,845264,845264,1,1,1,1,1,1,1,1
reduced,30,3,3,0.189655333333333,0.187764,0.187113,0.194089,185.377514333333,185.383181,183.186872,187.56249,185.352323,185.064873,185.028236,185.96386,370.729968666667,370.411548,368.251874,373.526484,396.940831666667,396.748605,394.449212,399.624678,4.67638883333333,4.6779235,4.6710215,4.6802215,4.648,4.647,4.645,4.652,4.88478333333333,4.88515,4.85515,4.91405,7.40333333333333,7.403,7.372,7.435,74392514,74392514,74392514,74392514,74382322,74382322,74382322,74382322,1274330,1274330,1274330,1274330,1270438,1270438,1270438,1270438,1,1,1,1,1,1,1,1
reduced,40,3,3,0.196941666666667,0.196155,0.195404,0.199266,316.330069666667,315.555837,312.989942,320.44443,317.453486333333,317.014447,315.760376,319.585636,633.783696333333,632.575729,631.316352,637.459008,664.027748,662.766418,661.591277,667.725549,6.39627833333333,6.3945485,6.3855165,6.40877,6.34533333333333,6.347,6.327,6.362,6.65646666666667,6.6528,6.65125,6.66535,9.58466666666667,9.284,9.208,10.262,99311812,99311812,99311812,99311812,99301620,99301620,99301620,99301620,1698100,1698100,1698100,1698100,1694208,1694208,1694208,1694208,1,1,1,1,1,1,1,1
