Time,x,y,z,alpha,beta,gamma,xdot,ydot,zdot,alphadot,betadot,gammadot,u1,u2,u3,u4
0,0.001,-0.003,0.076501894370622,0.628318530717959,0,0,0,0,0,0,0,0,-8.102185,-230.848550413379,8.102825,230.849190413379
0.01001001001001,0.00100024913837258,-0.00288589936822627,0.0758430478480237,0.305320908938739,0.0093561692030577,0.00396220642158963,5.80840442885015e-05,0.0220811379259019,-0.131103034979887,-21.994357257268,0.635249908809917,0.293886336197993,-0.498506105336789,47.4704357703134,-0.812156992076403,-48.7810988677266
0.02002002002002,0.0010003925265963,-0.00259678064272574,0.0738827285301744,0.152087781710322,0.0137380423754203,0.00620856814079866,-6.16153538499938e-05,0.0342357378059671,-0.260587145441401,-10.1905894629035,0.285491096119222,0.171116633766029,-1.79927488631512,20.0072542705797,-0.806519649043214,-22.613048805938
0.03003003003003,0.000998586855312071,-0.00222041408063643,0.0706241273600786,0.080063015824768,0.015679261010379,0.00761149765456013,-0.000313471609946175,0.0402249763806525,-0.390586904572501,-4.95578497188009,0.123898308753141,0.117130833716624,-2.71352894566281,6.93451930626384,-1.19257531814352,-10.8406235700702
0.04004004004004,0.000993998193895487,-0.00180160235647064,0.0660624073919325,0.0434797845852375,0.0164859119710391,0.00865137693268036,-0.000603676709396449,0.0430608412537913,-0.52078791156771,-2.6764145204433,0.0464963652117656,0.0940083214346411,-3.46245553837529,0.863830803259205,-1.7459921849166,-6.0722785265511
0.0500500500500501,0.000986651672514861,-0.00136454328978035,0.0602043793207702,0.0223811853166484,0.0167283881708645,0.00953598366842144,-0.00084932743862105,0.0439973715624606,-0.648976324685252,-1.67257384023379,0.00586042842038715,0.0840773528065313,-4.16165891022234,-2.09603233521313,-2.32902304952035,-4.39464962452956
0.0600600600600601,0.000977484010269332,-0.000925778977005844,0.0530986249388626,0.00826980367732333,0.0166548404125082,0.0103518085742844,-0.000949470040975977,0.0434200942707431,-0.768256176085177,-1.20079454978494,-0.0189360313116843,0.0794964736016902,-4.85993463844125,-3.67774608931706,-2.8238980870736,-4.00608663619779
0.0700700700700701,0.000968259764858032,-0.000500589028130979,0.0449172460330214,-0.00229393695621198,0.0163579388469538,0.011133932665789,-0.000884221096007246,0.0412415446892816,-0.858980801952892,-0.926515286233915,-0.0416649913293084,0.0769566251078005,-5.53848397423415,-4.59605171162446,-3.05290736127208,-3.99533962388177
0.0800800800800801,0.000957248711589424,-0.000107431881598644,0.0361604128475105,-0.0103640996976287,0.015678201323176,0.011894454475451,-0.00174169275417271,0.0368089945939196,-0.870699746593568,-0.678319458007814,-0.112468228405342,0.0751134443297963,-6.03739127354865,-5.04244858480223,-2.67135305558458,-3.666295744331
0.0900900900900901,0.000907458341709268,0.000217250916585943,0.0280840214586139,-0.0153460009933632,0.0131730651250376,0.0126416425801396,-0.0108731096175069,0.0262796684957284,-0.703135692778666,-0.260404355729742,-0.475239380153279,0.0745929753784354,-5.75382552526697,-4.74073521571233,-1.27907235987184,-2.29216266942648
0.1001001001001,0.000664326161251844,0.000359205367592461,0.0229497784711448,-0.0138436378226876,0.00412975306127301,0.0134020537082229,-0.040327476532563,-0.00119601907947901,-0.285835310037353,0.637142646921611,-1.36194279149119,0.0777979968302824,-3.17901048423707,-2.86729122800186,0.319868879389077,0.00814962315386136
0.11011011011011,0.000162715735854629,0.000192045141594415,0.0226656871455577,-0.00365572169806279,-0.010617417999699,0.0141896685120019,-0.051777118239213,-0.0279313955528491,0.21935616535578,1.20038296222077,-1.27638639560013,0.0784935557462668,1.30766446027167,0.567875433730796,0.88611452630124,1.62590355284211
0.12012012012012,-0.000250351183455593,-9.69847146736986e-05,0.0267757016535893,0.00645787065760778,-0.0180150716075221,0.0149629724855797,-0.0292339331268159,-0.0264719782452224,0.562567466095058,0.738122771046884,-0.232411555285019,0.0757832551625411,4.26595431803862,3.35976859831475,1.36068985876068,2.26687557848455
0.13013013013013,-0.000451695496545683,-0.000319703517288583,0.0331457073114868,0.011441670072647,-0.0177004336146073,0.0157094776245632,-0.0132834352597752,-0.0184878945034399,0.676745721238342,0.315218838748011,0.176724859252481,0.0735579663029861,4.90915971998184,4.40474052269021,1.85959728485111,2.36401648214274
