variant,magnet_n,n_runs,success_count,graph_build_time_s_mean,graph_build_time_s_median,graph_build_time_s_min,graph_build_time_s_max,build_ocp_time_s_mean,build_ocp_time_s_median,build_ocp_time_s_min,build_ocp_time_s_max,build_sim_time_s_mean,build_sim_time_s_median,build_sim_time_s_min,build_sim_time_s_max,build_total_time_s_mean,build_total_time_s_median,build_total_time_s_min,build_total_time_s_max,total_wall_time_s_mean,total_wall_time_s_median,total_wall_time_s_min,total_wall_time_s_max,solve_wall_mean_ms_mean,solve_wall_mean_ms_median,solve_wall_mean_ms_min,solve_wall_mean_ms_max,solve_wall_median_ms_mean,solve_wall_median_ms_median,solve_wall_median_ms_min,solve_wall_median_ms_max,solve_wall_p95_ms_mean,solve_wall_p95_ms_median,solve_wall_p95_ms_min,solve_wall_p95_ms_max,solve_wall_max_ms_mean,solve_wall_max_ms_median,solve_wall_max_ms_min,solve_wall_max_ms_max,generated_code_bytes_mean,generated_code_bytes_median,generated_code_bytes_min,generated_code_bytes_max,per_run_bytes_mean,per_run_bytes_median,per_run_bytes_min,per_run_bytes_max,per_run_c_lines_mean,per_run_c_lines_median,per_run_c_lines_min,per_run_c_lines_max,per_run_dyn_c_lines_mean,per_run_dyn_c_lines_median,per_run_dyn_c_lines_min,per_run_dyn_c_lines_max,sqp_iter_mean_mean,sqp_iter_mean_median,sqp_iter_mean_min,sqp_iter_mean_max,sqp_iter_max_mean,sqp_iter_max_median,sqp_iter_max_min,sqp_iter_max_max
full,4,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
full,6,3,3,0.272726,0.221508,0.198504,0.398166,13.9508993333333,13.319939,13.25672,15.276039,13.2866783333333,13.29984,13.2014,13.358795,27.238013,26.556671,26.521533,28.635835,41.598588,40.823088,40.19926,43.773416,2.68559259259259,2.91133333333333,1.80363888888889,3.34180555555556,1.81733333333333,2.12,1.1065,2.2255,5.72575,5.71325,4.66475,6.79925,9.919,9.96,8.591,11.206,6855592,6855592,6855592,6855592,6845532,6845532,6845532,6845532,115775,115775,115775,115775,111861,111861,111861,111861,1,1,1,1,1,1,1,1
full,8,3,3,0.180163333333333,0.179721,0.178003,0.182766,12.5127083333333,12.506437,12.481874,12.549814,12.530633,12.508149,12.436288,12.647462,25.0434993333333,25.014745,24.986304,25.129449,39.2106213333333,39.013751,38.893009,39.725104,3.0123137254902,3.02870588235294,2.97935294117647,3.02888235294118,2.574,2.586,2.5425,2.5935,4.89155,4.69485,4.6579,5.3219,8.67866666666667,8.574,8.574,8.888,6912780,6912780,6912780,6912780,6902720,6902720,6902720,6902720,116073,116073,116073,116073,112159,112159,112159,112159,1,1,1,1,1,1,1,1
full,10,3,3,0.177548333333333,0.17734,0.176608,0.178697,12.369601,12.356483,12.311377,12.440943,12.4652323333333,12.465599,12.431273,12.498825,24.834953,24.855423,24.777088,24.872348,45.2492903333333,45.18589,45.116558,45.445423,2.83543983333333,2.8356195,2.825725,2.844975,2.793,2.798,2.782,2.799,3.0125,3.02825,2.9761,3.03315,5.55533333333333,5.171,5.116,6.379,6950838,6950838,6950838,6950838,6940778,6940778,6940778,6940778,116301,116301,116301,116301,112387,112387,112387,112387,1,1,1,1,1,1,1,1
full,12,3,3,0.177453333333333,0.176958,0.176564,0.178838,12.581807,12.55486,12.505675,12.684886,12.692918,12.730844,12.582729,12.765181,25.2748413333333,25.236638,25.137703,25.450183,45.983062,46.099055,45.622473,46.227658,3.2767395,3.2840485,3.260036,3.286134,3.23566666666667,3.244,3.219,3.244,3.45121666666667,3.45005,3.4394,3.4642,6.54966666666667,5.896,5.644,8.109,6996344,6996344,6996344,6996344,6986284,6986284,6986284,6986284,116579,116579,116579,116579,112665,112665,112665,112665,1,1,1,1,1,1,1,1
full,16,3,3,0.178835,0.176213,0.176044,0.184248,12.5225516666667,12.534635,12.486693,12.546327,12.7460303333333,12.733542,12.662658,12.841891,25.268694,25.268281,25.209099,25.328702,46.1191813333333,46.094558,46.04352,46.219466,4.146965,4.1483835,4.138209,4.1543025,4.107,4.104,4.099,4.118,4.32343333333333,4.3261,4.30005,4.34415,6.69033333333333,6.781,6.436,6.854,7072941,7072941,7072941,7072941,7062881,7062881,7062881,7062881,117035,117035,117035,117035,113121,113121,113121,113121,1,1,1,1,1,1,1,1
full,20,3,3,0.179709666666667,0.180184,0.176095,0.18285,12.590224,12.599001,12.566233,12.605438,12.6276243333333,12.627472,12.616426,12.638975,25.21797,25.215561,25.205325,25.233024,50.309753,50.313081,50.169579,50.446599,5.031459,5.021304,5.015985,5.057088,4.98433333333333,4.979,4.972,5.002,5.23431666666667,5.25115,5.1777,5.2741,7.575,7.594,7.33,7.801,7147784,7147784,7147784,7147784,7137724,7137724,7137724,7137724,117529,117529,117529,117529,113615,113615,113615,113615,1,1,1,1,1,1,1,1
full,30,3,3,0.180228,0.180635,0.177999,0.18205,12.598111,12.576336,12.529445,12.688552,12.683411,12.668409,12.655155,12.726669,25.2816326666667,25.303121,25.184708,25.357069,55.3020046666667,55.303662,55.164195,55.438157,7.21123166666667,7.211373,7.206076,7.216246,7.15033333333333,7.157,7.132,7.162,7.4208,7.404,7.4032,7.4552,10.6133333333333,10.32,10.018,11.502,7324468,7324468,7324468,7324468,7314408,7314408,7314408,7314408,118695,118695,118695,118695,114781,114781,114781,114781,1,1,1,1,1,1,1,1
full,40,3,3,0.180334333333333,0.181645,0.176631,0.182727,12.7261596666667,12.704712,12.675422,12.798345,12.7805113333333,12.770046,12.754076,12.817412,25.5068253333333,25.474922,25.429638,25.615916,59.409272,59.420658,59.297618,59.50954,9.1971945,9.2002545,9.1884645,9.2028645,9.13166666666667,9.133,9.125,9.137,9.42921666666667,9.4254,9.4232,9.43905,12.0303333333333,12.035,11.609,12.447,7512398,7512398,7512398,7512398,7502338,7502338,7502338,7502338,119849,119849,119849,119849,115935,115935,115935,115935,1,1,1,1,1,1,1,1
full,60,3,3,0.179279,0.180336,0.176743,0.180758,12.788015,12.613634,12.60618,13.144231,12.6789236666667,12.629512,12.610126,12.797133,25.4670653333333,25.243259,25.216434,25.941503,69.1836046666667,69.129475,68.929465,69.491874,13.1580038333333,13.158139,13.1289475,13.186925,13.0671666666667,13.073,13.0195,13.109,13.4930166666667,13.48405,13.426,13.569,17.983,17.868,16.055,20.026,7877410,7877410,7877410,7877410,7867350,7867350,7867350,7867350,122219,122219,122219,122219,118305,118305,118305,118305,1,1,1,1,1,1,1,1
