t,x,y,z,alpha,beta,x_dot,y_dot,z_dot,alpha_dot,beta_dot,x_est,y_est,z_est,x_dot_est,y_dot_est,z_dot_est,err_x,err_y,err_z,err_x_dot,err_y_dot,err_z_dot,x_std,y_std,z_std,x_dot_std,y_dot_std,z_dot_std,bx,by,bz,bx_est,by_est,bz_est,bx_std,by_std,bz_std,nis,nees,cond_P,det_P,cond_S,det_S,runtime,filterVariant,nx,useSRformulation,RK4Iterations,updateJacobians,updateQ,cubature
0,0.3,-0.3,31.119178665731,1,1,0,0,0,0,0,0,0,30.119178665731,0,0,0,-0.3,0.3,-1,0,0,0,0,0,0,0,0,0,-0.00189438033401451,0.00187082593548675,-0.0108409137544472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
0.005,0.268170921938716,-0.267951213633583,31.083047198672,2.39471827702708,2.41337902891314,-12.5374590164552,12.626173290358,-14.2993598704636,-6668.82661942291,-6690.26807911332,1.70609738367863,-0.658952106799046,16.1696958179348,-17717.1789304351,17944.4672266337,-11218.1911812972,1.43792646173992,-0.391000893165463,-14.9133513807372,-17704.6414714187,17931.8410533433,-11203.8918214267,0.293432241090397,0.293382896817865,0.147932138522184,450.800526502988,450.798654392355,11184.4983497437,-1.71926893254337,1.97433738602416,10.7157135089441,11.7358183781584,-11.880358531823,16.6995595096929,0.883001341825643,0.775593943535702,43.6400189427558,622.743766943761,13464.1291510247,5717030269.46579,7.96916386783471e-22,3167.28979060706,6.88972799972405e-16,36.851,0,6,0,0,1,0,0
0.01,0.258938020945298,-0.257737848441894,30.9748028013864,4.44943003770763,4.48506399136533,9.16065976730538,-8.85600258570305,-28.7556803664636,-703.803206516405,-669.130230448313,-1.08432840158063,0.774059562376278,16.1723934744423,4932.42338775362,-5031.08525403046,-17754.4660516165,-1.34326642252592,1.03179741081817,-14.8024093269441,4923.26272798631,-5022.22925144476,-17725.71037125,0.2929051477553,0.29285604834503,0.147932113095001,574.737696150813,574.73537280539,15794.2931755384,2.10161358326856,-2.29763378357457,10.5503912710403,-13.2014812015997,13.4687942286017,5.71079390964359,0.821215035506679,0.704426273577624,43.6352608848676,975.908757162136,10232.5390302309,11400777925.2711,4.18019803861458e-21,3838.72800144769,4.6872207827735e-16,43.757,0,6,0,0,1,0,0
0.015,0.299179724333251,-0.29664130562919,30.8017577878516,5.46458072619099,5.51390318303188,7.10244885948709,-6.87011046452481,-39.9247760253816,-1290.82381791069,-1312.6197638665,1.0444949965741,-0.508316680264858,16.0766033746918,-1376.30976359378,1224.73126066764,-24429.6527480763,0.74531527224085,-0.211675374635668,-14.7251544131597,-1383.41221245326,1231.60137113217,-24389.7279720509,0.292905159868718,0.292856060533032,0.147932113102898,673.700965060179,673.698943612337,19318.1773048468,-0.491307226640957,0.545725591434733,10.5852123130574,3.62322832719295,-3.60845463530453,6.25306641051747,0.821218293977582,0.704427699004045,43.6356718869573,68.2203369066538,9921.82809621932,17055530373.7608,1.19553357771403e-20,3838.78488305661,4.68734689554556e-16,34.413,0,6,0,0,1,0,0
0.02,0.339483971272817,-0.335484792754836,30.5823265243794,6.41524989885031,6.49473294703131,9.197731858319,-8.84092681850495,-47.1591230181829,-548.18530470797,-568.18608157893,0.794000269387835,-0.292935809743705,16.0195716798492,-3847.9012934208,3607.28562986218,-30574.2023768498,0.454516298115019,0.0425489830111306,-14.5627548445302,-3857.09902527912,3616.12655668069,-30527.0432538316,0.292905219764413,0.292856120396368,0.147932113113056,759.424689229924,759.42288684553,22277.5323358649,-0.0915759731393203,0.155746668384432,10.4857557846625,1.67907229604354,-1.49967102966205,5.30051645369093,0.821226332858851,0.704434700341541,43.6360807881686,11.503038958365,9743.47600986341,22681225437.1619,2.58588409796944e-20,3838.78051751024,4.68762110510532e-16,32.025,0,6,0,0,1,0,0
0.025,0.383341475369376,-0.377445809834837,30.3388564203688,7.09971231652749,7.2138981928925,8.49012434203507,-8.08227002044078,-49.4301307460559,-419.464788101452,-448.556231417054,0.528140591474288,-0.571189088101413,15.5771224631199,-10429.7940046391,9855.78232276576,-36620.6741432905,0.144799116104911,-0.193743278266576,-14.7617339572489,-10438.2841289812,9863.86459278621,-36571.2440125444,0.292905275889893,0.292856176493562,0.147932113122995,836.026177367657,836.024532588369,24874.6417746418,-0.627096174396414,0.496265358199075,10.1759114752222,3.94067304260326,-3.7196571841514,4.94155644414062,0.821233983570776,0.704441261399386,43.6364875844158,76.9596901428326,10261.2977281701,28277803278.3318,4.7574664907516e-20,3838.78058298962,4.68788315254245e-16,30.648,0,6,0,0,1,0,0
0.03,0.422957657364727,-0.414976648706065,30.0962705359778,7.63181210308953,7.78348656718326,7.48557917541346,-7.05207437900125,-46.7783817175355,-349.786173451684,-383.089984228289,0.86556634477229,-1.00766578814671,15.5645577162238,-17814.286767308,17025.9352949751,-42549.1318012754,0.442608687407563,-0.592689139440642,-14.531712819754,-17821.7723464834,17032.9873693541,-42502.3534195579,0.29290533164966,0.292856232225297,0.147932113132878,905.822679180299,905.82115421672,27213.3939503864,-0.616262420910363,0.452959698032516,10.1754363306261,4.36884123490089,-4.3225926767003,4.60109076426961,0.821241587283649,0.704447779896523,43.6368922714258,94.985149490748,10417.3731292654,33845207579.1801,7.87315574051735e-20,3838.78074131038,4.68814362588715e-16,28.931,0,6,0,0,1,0,0
0.035,0.457087367683706,-0.447004315764923,29.8782804419754,8.04626618658762,8.23426286567211,6.2804411250593,-5.86546089277495,-39.6499520931566,-324.570589066879,-359.768373585719,1.1665828767519,-0.85852138313235,15.2276004107356,-25994.9459034357,25131.7398955745,-48896.2834246531,0.709495509068194,-0.411517067367427,-14.6506800312398,-26001.2263445608,25137.6053564673,-48856.63347256,0.292905387114387,0.292856287662144,0.14793211314271,970.283272900558,970.281842807838,29355.5839917806,-0.598617010153458,0.589462572962885,9.98461265430213,4.87178553320254,-4.84929662826942,4.99573473649882,0.821249151057889,0.7044542640835,43.6372948451814,118.876074105073,11234.6457571115,39383385454.6543,1.20903656303689e-19,3838.78090175647,4.68840274380489e-16,32.324,0,6,0,0,1,0,0
0.04,0.485190230764257,-0.473198068223842,29.7050984917837,8.37602086608747,8.59633259787456,5.06010807761461,-4.70403621566149,-28.9959644226226,-312.651807404199,-347.161141780637,2.16442225391681,-0.899534729789327,15.146070113008,-34439.0847109439,33638.0488289712,-55768.1515044403,1.67923202315256,-0.426336661565485,-14.5590283787756,-34444.1448190216,33642.7528651868,-55739.1555400177,0.292905442285045,0.292856342805067,0.147932113152489,1030.40935199252,1030.40799930292,31341.5256101247,-0.309018032566793,0.623793126299008,9.99776786332124,5.17677496325822,-4.99857335637608,5.56381541990806,0.821256674969514,0.704460714070617,43.6376953019205,123.418153554099,11955.6091121011,44892287667.0425,1.75611084040846e-19,3838.78106246141,4.68866050823814e-16,27.856,0,6,0,0,1,0,0
0.045,0.507469732763819,-0.493931211464144,29.5911948700113,8.65209624716291,8.89909024032726,3.9361384024727,-3.66720991787035,-16.1454943031938,-298.374016442329,-329.312710076255,1.98213443311338,-1.04524622606534,14.8770961724529,-43504.2544172393,42367.6267208623,-63520.3087775039,1.47466470034956,-0.551315014601195,-14.7140986975584,-43508.1905556418,42371.2939307802,-63504.1632832007,0.292905497161215,0.292856397653653,0.147932113162217,1086.9200353332,1086.9187472594,33199.2553399768,-0.406864532641851,0.601211557940154,9.89700622217685,5.58679832236784,-5.09267467592806,6.61238666977583,0.821264158956909,0.704467129806381,43.6380936381344,136.971708135,13105.8098804481,50371868245.6155,2.4432055983308e-19,3838.78122336902,4.68891691687472e-16,31.605,0,6,0,0,1,0,0
0.05,0.524611903040439,-0.509985762290046,29.5438123378149,8.89820927763289,9.16526926648958,2.99010435869427,-2.81905472880216,-2.63115944066997,-272.521513274371,-296.685348793547,0.801737314210005,-0.425456332897145,14.7247795147374,-52958.7709628605,51426.3340802331,-72187.4669898319,0.277125411169567,0.0845294293929008,-14.8190328230775,-52961.7610672192,51429.1531349619,-72184.8358303912,0.29290555174249,0.292856452207489,0.147932113171892,1140.35254396027,1140.35131081319,34949.211238889,-0.822703362373671,0.825947885486228,9.88047375206573,5.4905334396136,-5.12842269231511,7.69121696257442,0.821271602960274,0.704473511239962,43.6384898505653,151.234273379154,14260.8250464176,55822084820.336,3.28446027541438e-19,3838.7813844602,4.68917196747464e-16,28.563,0,6,0,0,1,0,0
0.055,0.537596451320112,-0.522355431504022,29.5624887688815,9.13174551071179,9.41194532084242,2.25825322565015,-2.18032679465964,10.0328916638227,-229.525508235318,-243.664295840734,2.05468019344424,-1.16247765725219,14.6104709575945,-61632.8805864599,60053.0738876397,-81813.9557774882,1.51708374212413,-0.640122225748167,-14.952017811287,-61635.1388396855,60055.2542144343,-81823.988669152,0.29290560602849,0.292856506466201,0.147932113181515,1191.12085631939,1191.1196705528,36606.8409956058,-0.380445410667064,0.565644348429484,9.90760084655878,4.98668679184425,-4.84016192793203,8.85403870215172,0.821279006924425,0.704479858324465,43.6388839362047,116.718700998671,15550.1304328781,61242898484.9026,4.29349298456374e-19,3838.78154571672,4.68942565795689e-16,28.884,0,6,0,0,1,0,0
0.06,0.547471555110653,-0.532039477448793,29.6396714412935,9.35971455019045,9.6459650675158,1.7319617942906,-1.73248876132303,20.5576500020042,-165.873157322158,-167.357448297252,1.41540870185917,-1.06452298367066,14.9393790311177,-70811.9923727713,68870.4115713753,-92189.4124817377,0.867937146748519,-0.532483506221864,-14.7002924101758,-70813.7243345656,68872.1440601366,-92209.9701317397,0.292905660018873,0.292856560429444,0.147932113191086,1239.5520660138,1239.5509216168,38184.1603347025,-0.605151240574869,0.597077373774028,10.2132231533287,5.28840641797688,-4.98562167816236,9.92013830623052,0.82128637079881,0.704486171016969,43.639275892291,132.732612698398,16311.6972315965,66634273479.0109,5.4834070819602e-19,3838.78170712038,4.68967798639985e-16,31.119,0,6,0,0,1,0,0
