t,x,y,z,alpha,beta,x_dot,y_dot,z_dot,alpha_dot,beta_dot,x_est,y_est,z_est,alpha_est,beta_est,x_dot_est,y_dot_est,z_dot_est,alpha_dot_est,beta_dot_est,err_x,err_y,err_z,err_alpha,err_beta,err_x_dot,err_y_dot,err_z_dot,err_alpha_dot,err_beta_dot,x_std,y_std,z_std,alpha_std,beta_std,x_dot_std,y_dot_std,z_dot_std,alpha_dot_std,beta_dot_std,bx,by,bz,bx_est,by_est,bz_est,bx_std,by_std,bz_std,nis,nees,cond_P,det_P,cond_S,det_S,runtime,filterVariant,nx,useSRformulation,RK4Iterations,updateJacobians,updateQ,cubature
0,0.3,-0.3,31.119178665731,1,1,0,0,0,0,0,0,0,30.119178665731,0,0,0,0,0,0,0,-0.3,0.3,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00189438033401451,0.00187082593548675,-0.0108409137544472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0
0.005,0.268170921938716,-0.267951213633583,31.083047198672,2.39471827702708,2.41337902891314,-12.5374590164552,12.626173290358,-14.2993598704636,-6668.82661942291,-6690.26807911332,12.7864379906547,-10.8665767479736,16.5382044775723,-2856.0908852588,-2917.73047161507,-25096.3702836867,15825.5395437839,-827.320701477042,100146.941013965,83056.880059753,12.518267068716,-10.59862553434,-14.5448427210997,-2858.48560353583,-2920.14385064399,-25083.8328246702,15812.9133704936,-813.021341606579,106815.767633388,89747.1481388663,2.41765291843103,2.30709536982752,0.162473919290489,604.523973992917,599.972696048953,1356.55513387883,1339.93668660756,447.006417106044,213030.195921007,211868.195716487,-1.71926893254337,1.97433738602416,10.7157135089441,8.42635355221839,-8.70649847887719,16.4943040460291,2.37618570948,2.36021689368061,1.54346400064802,51.6280396723831,11273.4598583477,2096141294017.93,1.21496017355233e-15,2.37749125685013,7.48354550007386e-17,44.708,0,10,0,0,1,0,0
0.01,0.258938020945298,-0.257737848441894,30.9748028013864,4.44943003770763,4.48506399136533,9.16065976730538,-8.85600258570305,-28.7556803664636,-703.803206516405,-669.130230448313,-1.96111058944419,1.52819142307257,16.08783468018,429.077664459011,431.764717469864,-17208.9109545143,-2477.47120487881,2280.24654242385,102962.717989773,104352.361016595,-2.22004861038949,1.78592927151446,-14.8869681212064,424.628234421304,427.279653478498,-17218.0716142816,-2468.61520229311,2309.00222279032,103666.521196289,105021.491247043,3.42714359358713,3.26963395599679,0.17636456491301,859.444679230513,852.861285862324,1899.68227090368,1875.25152208894,570.177626470385,289024.917365487,287437.461949197,2.10161358326856,-2.29763378357457,10.5503912710403,-9.68956605231867,10.0408237048606,6.14202371720458,2.35398072503978,2.3378537916139,1.38957832825741,61.7752115371853,10374.5532856801,3861085131225.21,1.21972418880096e-13,2.87951041162574,5.83836223924867e-17,41.97,0,10,0,0,1,0,0
0.015,0.299179724333251,-0.29664130562919,30.8017577878516,5.46458072619099,5.51390318303188,7.10244885948709,-6.87011046452481,-39.9247760253816,-1290.82381791069,-1312.6197638665,2.55627345777421,-2.1378780343511,16.0949863434131,-490.095143738389,-433.487085408683,-32129.3999696169,2653.75811749251,5393.60775813152,118752.444417725,150417.721336046,2.25709373344096,-1.84123672872191,-14.7067714444385,-495.55972446458,-439.000988591715,-32136.5024184764,2660.62822795703,5433.53253415691,120043.268235636,151730.341099913,4.21671057830176,4.02257047551384,0.189604683585773,1058.46175292283,1050.31225383598,2318.72191407306,2288.28277802689,670.069458661007,339646.048406604,337798.274266735,-0.491307226640957,0.545725591434733,10.5852123130574,2.61065304736254,-2.86364086564883,6.50227348546611,2.35400369393245,2.33787660098046,1.38959842988024,12.8280288957658,10509.9085523389,5323224940103.54,1.96933492295919e-12,2.87948322809176,5.83875916350487e-17,44.844,0,10,0,0,1,0,0
0.02,0.339483971272817,-0.335484792754836,30.5823265243794,6.41524989885031,6.49473294703131,9.197731858319,-8.84092681850495,-47.1591230181829,-548.18530470797,-568.18608157893,3.41723090728523,-3.28747621908616,16.060614218604,-813.845990176006,-678.518307542184,-43850.942512714,4483.65969961006,8987.94094503765,147342.903049718,204333.215464488,3.07774693601241,-2.95199142633133,-14.5217123057753,-820.261240074856,-685.013040489215,-43860.1402445723,4492.50062642857,9035.10006805583,147891.088354426,204901.401546067,4.89324615736614,4.66772930930677,0.20223289831341,1228.86296387077,1219.38509663278,2672.58140180431,2637.02944540519,756.470406293185,376402.511571989,374389.487984322,-0.0915759731393203,0.155746668384432,10.4857557846625,0.957563254615327,-1.05649081649939,5.75600233501544,2.35402643988692,2.33789913487622,1.38961147945462,12.1950592680007,10516.2753815487,6531588062012.25,1.48242860394958e-11,2.87948481244139,5.83909420192721e-17,45.031,0,10,0,0,1,0,0
0.025,0.383341475369376,-0.377445809834837,30.3388564203688,7.09971231652749,7.2138981928925,8.49012434203507,-8.08227002044078,-49.4301307460559,-419.464788101452,-448.556231417054,6.29405302375302,-6.74228004081707,15.7124946152546,-1688.79120383664,-1501.52476967525,-58796.751269302,9391.96035371079,12676.1167051947,208206.240893914,283603.572321146,5.91071154838364,-6.36483423098223,-14.6263618051141,-1695.89091615317,-1508.73866786814,-58805.241393644,9400.04262373123,12725.5468359408,208625.705682015,284052.128552563,5.49797194191553,5.24439330918927,0.214343703041242,1381.11078308808,1370.45747636862,2984.39263838972,2944.289117839,833.587304917316,404182.418420468,402070.879256347,-0.627096174396414,0.496265358199075,10.1759114752222,2.52705974860386,-2.71082287994112,5.51759299752266,2.35404978796697,2.33792220842223,1.38962441318786,15.3009470623566,11104.5552996266,7526731913021.12,7.33594500643648e-11,2.87948837812316,5.83943393291859e-17,34.488,0,10,0,0,1,0,0
0.03,0.422957657364727,-0.414976648706065,30.0962705359778,7.63181210308953,7.78348656718326,7.48557917541346,-7.05207437900125,-46.7783817175355,-349.786173451684,-383.089984228289,10.3057350862908,-10.9369152730338,15.8033809534124,-2687.94356803244,-2424.32370693255,-74304.295596124,14993.0053329028,16458.843280331,309281.518664296,409194.887339418,9.88277742892605,-10.5219386243277,-14.2928895825655,-2695.57538013553,-2432.10719349974,-74311.7811752994,15000.0574072818,16505.6216620486,309631.304837748,409577.977323646,6.05181492507891,5.77250706620683,0.22600661614294,1520.5045675264,1508.78680089819,3266.08632965791,3221.82740720646,903.798745917594,425824.344873036,423665.110790258,-0.616262420910363,0.452959698032516,10.1754363306261,2.67402424212084,-3.12941855688706,5.33100634277044,2.35407398911347,2.33794605052557,1.38963728901913,16.8737064624841,11149.7407190319,8350834953043.13,2.78647128374364e-10,2.87949430772318,5.8397812229988e-17,38.125,0,10,0,0,1,0,0
0.035,0.457087367683706,-0.447004315764923,29.8782804419754,8.04626618658762,8.23426286567211,6.2804411250593,-5.86546089277495,-39.6499520931566,-324.570589066879,-359.768373585719,14.7170886581928,-15.001045072569,15.589436349174,-3808.4688081575,-3456.93402826097,-90408.4498162108,21352.5090749318,19801.8352827919,445906.724997159,572411.484013063,14.2600012905091,-14.5540407568041,-14.2888440928014,-3816.51507434409,-3465.16829112664,-90414.7302573358,21358.3745358246,19841.485234885,446231.295586226,572771.252386648,6.5670410886372,6.2637606877035,0.237273928779235,1650.14611225953,1637.45083777146,3524.76350040718,3476.65048801278,968.60661984152,443308.32499046,441141.173901311,-0.598617010153458,0.589462572962885,9.98461265430213,2.97640723478107,-3.54527524328868,5.88066673785231,2.35409929720754,2.33797089261162,1.38965010964795,14.538152559023,11669.519160215,9047861715846.21,8.82635413907969e-10,2.87950322083292,5.84013850063305e-17,32.995,0,10,0,0,1,0,0
0.04,0.485190230764257,-0.473198068223842,29.7050984917837,8.37602086608747,8.59633259787456,5.06010807761461,-4.70403621566149,-28.9959644226226,-312.651807404199,-347.161141780637,20.0088151054499,-19.4798468816178,15.6351730304254,-4981.26953841199,-4528.90474837543,-106672.608702323,28024.3472573087,22594.1110409427,629286.444828971,784271.939685411,19.5236248746857,-19.006648813394,-14.0699254613582,-4989.64555927807,-4537.50108097331,-106677.668810401,28029.0512935244,22623.1070053654,629599.096636376,784619.100827192,7.05151269942617,6.72564686096784,0.248185681392706,1772.02167812629,1758.42079576819,3765.04989748772,3713.32434011991,1029.03151634809,458197.406912492,456053.064573981,-0.309018032566793,0.623793126299008,9.99776786332124,3.13166965296561,-3.63020989244961,6.61138514584493,2.35412596948368,2.33799696912403,1.38966287752482,11.6877396955242,11910.7129311006,9663531270344.69,2.4494334411011e-09,2.87951574639789,5.84050822427924e-17,32.133,0,10,0,0,1,0,0
0.045,0.507469732763819,-0.493931211464144,29.5911948700113,8.65209624716291,8.89909024032726,3.9361384024727,-3.66720991787035,-16.1454943031938,-298.374016442329,-329.312710076255,24.4181905515133,-24.1690808788247,15.5072585938406,-6180.2862545409,-5681.90832402758,-123431.793744319,34880.0890734325,24482.4600577708,859619.581014957,1023044.94896783,23.9107208187495,-23.6751496673605,-14.0839362761707,-6188.93835078807,-5690.80741426791,-123435.729882721,34883.7562833503,24498.605552074,859917.955031399,1023374.26167791,7.51058620030065,7.1632697469919,0.25877294538466,1887.48347946808,1873.03887396198,3990.15316317663,3935.01654791397,1085.80463340052,471831.154962115,469731.916358861,-0.406864532641851,0.601211557940154,9.89700622217685,3.437931819504,-3.70226066380599,7.82447121664869,2.35415426572597,2.33802451678372,1.38967559513206,8.4855691531026,12433.7789470806,10245212523836.6,6.14636040630293e-09,2.87953251955619,5.84089287714233e-17,33.7,0,10,0,0,1,0,0
